z,y,x,tomo_id
67.0,191.1702017535124,345.3245735225382,aba2013-04-06-10
68.0,187.61279333080915,229.1158983808985,aba2013-04-06-12
64.0,481.0989882038277,228.52299697711464,aba2013-04-06-13
61.0,146.7025964697217,236.8236166300889,aba2013-04-06-14
69.0,83.85504766863087,398.0927984593032,aba2013-04-06-15
64.0,498.8860303173439,160.33933554196892,aba2013-04-06-15
64.0,166.2683427945896,311.52919350685727,aba2013-04-06-16
60.0,187.01989192702524,412.3224321501161,aba2013-04-06-17
67.0,162.71093437188634,240.973926456576,aba2013-04-06-18
65.0,178.71927227405098,291.9634471819893,aba2013-04-06-19
59.0,236.23070844108693,444.3391079544455,aba2013-04-06-20
66.0,181.0908778891865,229.1158983808985,aba2013-04-06-21
64.0,199.47082140648664,167.45415238737542,aba2013-04-06-22
67.0,267.6544828416324,227.33719416954688,aba2013-04-06-7
59.0,216.66496211621904,312.714996314425,aba2013-04-06-8
65.0,400.4643972892205,205.9927436333273,aba2013-04-06-9
51.0,49.60034006812697,353.151982145604,aba2013-12-24-1
60.0,186.48495143234783,349.71554838750643,aba2013-12-24-21
51.0,75.94633221354187,189.3486396762853,aba2013-12-24-7
59.0,212.25820461807984,325.0877731211403,aba2013-12-25-14
68.0,175.60291119837214,212.2581980636026,aba2013-12-25-17
64.0,410.4258846683746,321.07860040335976,aba2013-12-25-18
67.0,113.74710355261544,244.90431876552967,aba2013-12-25-6
38.0,404.02180571192383,255.7964615511729,aba2014-02-21-11
57.0,325.1659190086683,165.08254677223994,aba2014-02-21-12
33.0,343.54586252596846,168.04705379115927,aba2014-02-21-13
18.0,356.58969340921374,203.62113801819183,aba2014-02-21-14
61.0,243.34552528649343,292.5563485857732,aba2014-02-21-15
67.0,347.1032709486717,142.55229342845263,aba2014-02-21-16
71.0,382.0844537719204,254.6106587436052,aba2014-02-21-17
69.0,171.60445542864448,169.82575800251095,aba2014-02-21-18
83.0,271.8047926681195,326.9446209582805,aba2014-02-21-19
57.0,338.2097498919136,157.37482852304953,aba2014-02-21-24
42.0,361.9258060432686,179.31218046305293,aba2014-02-21-26
48.0,271.8047926681195,213.1075604787339,aba2014-02-21-27
45.0,171.0115540248606,185.8340959046756,aba2014-02-21-2
75.0,335.8381442767781,295.5208556046926,aba2014-02-21-3
73.0,367.8548200811074,259.35386997387616,aba2014-02-21-5
58.0,163.89673717945408,133.6587723716945,aba2014-02-21-6
50.0,358.36839762056536,225.55848995819525,aba2014-02-21-8
34.0,272.3976940719034,256.9822643587407,aba2014-02-21-9
53.0,327.5318417003715,296.5380694690314,aba2014-03-04-10
62.0,344.7506077002482,313.7568354689081,aba2014-03-04-11
55.0,186.91191936804512,151.32647620340452,aba2014-03-04-12
69.0,337.289142433635,209.2963217363228,aba2014-03-04-13
68.0,77.28577583549675,281.04118006914234,aba2014-03-04-16
68.0,254.06510676756423,159.36190033668032,aba2014-03-04-16
66.0,163.3796058348803,167.97128333661868,aba2014-03-04-17
56.0,253.4911479009017,218.4796636029237,aba2014-03-04-18
54.0,255.21302450088933,146.73480527010406,aba2014-03-04-19
61.0,355.6558261668368,313.7568354689081,aba2014-03-04-1
55.0,298.2599395005811,388.94544700170303,aba2014-03-04-20
59.0,370.57875670006325,256.9349076693149,aba2014-03-04-22
68.0,309.1651579671697,379.18814626843954,aba2014-03-04-23
63.0,291.946391967293,161.65773580333052,aba2014-03-04-25
65.0,337.289142433635,228.2369643361872,aba2014-03-04-27
64.0,372.8745921667135,74.41598807062189,aba2014-03-04-29
70.0,75.56389923550908,295.3901517357063,aba2014-03-04-2
59.0,215.0359038345104,225.9411288695369,aba2014-03-04-30
62.0,260.3786543008524,159.9358592033429,aba2014-03-04-3
61.0,202.9827676345967,171.41503653659402,aba2014-03-04-4
57.0,171.01823256993487,173.73116418194766,aba2014-03-04-5
53.0,163.3796058348803,177.72858406988212,aba2014-03-04-6
67.0,220.2015336344733,122.62853287027669,aba2014-03-04-7
60.0,331.9606471918128,329.0969458389208,aba2014-03-05-11
72.0,351.4337718210325,254.6408810801396,aba2014-03-05-12
75.0,110.31066979451784,178.4665994423096,aba2014-03-05-13
72.0,390.9527600391549,377.7797574119701,aba2014-03-05-14
84.0,149.82965801264018,304.4691705725548,aba2014-03-05-17
75.0,180.1848228758356,354.2974600649699,aba2014-03-05-18
89.0,163.57539304503055,244.33157980584684,aba2014-03-05-19
69.0,350.5134719310323,306.7522207106464,aba2014-03-05-20
49.0,175.0301722386892,153.26608521626054,aba2014-03-05-21
50.0,155.5570476094695,170.44825400674853,aba2014-03-05-21
57.0,369.7614185308863,281.5596121852374,aba2014-03-05-22
67.0,256.9318434733486,396.107404121824,aba2014-03-05-5
65.0,366.89772373247166,249.48623044299325,aba2014-03-05-6
61.0,394.38919379725246,242.0406239671151,aba2014-03-05-7
67.0,176.17565015805508,354.8701990246528,aba2014-03-05-8
83.0,119.47449314944474,268.95935507221293,aba2014-03-05-9
59.0,354.21808779407826,256.3893629549568,aba2014-04-03-1
72.0,317.458200759478,216.0720674976532,aba2014-04-03-2
47.0,315.0865951443424,453.8255304149874,aba2014-04-03-33
67.0,138.9948782205313,148.4813074662914,aba2014-04-03-34
63.0,281.8841165324454,457.97584024147454,aba2014-04-03-36
59.0,146.1096950659378,155.5961243116979,aba2014-04-03-37
79.0,374.37673552273,137.8090821981816,aba2014-04-03-39
53.0,130.69425856755703,262.31837699279555,aba2014-04-03-3
63.0,339.9884541032652,324.5730243901025,aba2014-04-03-40
94.0,242.7526238827096,371.4122352890287,aba2014-04-03-41
59.0,188.20569473459287,335.2452496582123,aba2014-04-03-42
84.0,322.201411989749,391.5708830176805,aba2014-04-03-43
69.0,118.83623049187952,403.428911093358,aba2014-04-03-4
44.0,262.91127161136137,357.1826015982157,aba2014-04-03-6
71.0,201.94890334378704,274.11400570935933,aba2014-04-10-11
63.0,416.1532742652039,215.69463182170017,aba2014-04-10-12
61.0,97.13767372181036,122.91092035306514,aba2014-04-10-12
72.0,133.22022818183513,164.14812545023625,aba2014-04-10-13
64.0,327.95147447403224,236.8859733299687,aba2014-04-10-14
61.0,262.086494110495,314.20573288716463,aba2014-04-10-16
48.0,350.28829390166663,165.86634232928503,aba2014-04-10-17
70.0,272.9685343444707,189.9213786359682,aba2014-04-10-18
65.0,220.8492890133238,118.32900867560164,aba2014-04-10-19
50.0,337.1152978289592,260.36827067696896,aba2014-04-10-20
57.0,240.8951526022265,185.91220591818768,aba2014-04-10-21
57.0,330.8151692724469,280.9868732255545,aba2014-04-10-22
59.0,348.57007702261785,133.79296058704085,aba2014-04-10-23
68.0,320.50586799815414,160.13895273245572,aba2014-04-10-24
54.0,352.0065107807154,147.53869561943122,aba2014-04-10-25
57.0,305.6146550463979,188.7759007166024,aba2014-04-10-26
64.0,374.9160691680327,158.42073585340694,aba2014-04-10-27
65.0,335.9698199095933,224.8584551766271,aba2014-04-10-28
43.0,377.7797639664474,236.31323437028576,aba2014-04-10-29
36.0,163.57539304503055,48.454855594283856,aba2014-04-10-30
57.0,301.0327433689344,158.99347481308985,aba2014-04-10-30
57.0,373.7705912486669,243.75884084616388,aba2014-04-10-31
73.0,380.0707198051791,254.6408810801396,aba2014-04-10-32
51.0,238.0314578038118,295.8780861773108,aba2014-04-10-33
63.0,381.7889366842279,175.03016568421197,aba2014-04-10-3
