tomo_id,voxel_spacing_angstroms
tomo_003acc,6.5
tomo_00e047,15.6
tomo_00e463,19.7
tomo_01a877,13.1
tomo_02862f,15.6
tomo_0308c5,15.6
tomo_0333fa,16.8
tomo_033ebe,13.1
tomo_03437b,15.6
tomo_0363f2,13.1
tomo_040b80,16.1
tomo_049310,19.7
tomo_04d42b,13.3
tomo_05b39c,13.1
tomo_05df8a,15.6
tomo_05f919,15.6
tomo_066095,15.6
tomo_06e11e,15.6
tomo_072a16,16.8
tomo_081a2d,15.6
tomo_08446f,19.7
tomo_087d64,13.1
tomo_08a6d6,13.1
tomo_08bf73,16.1
tomo_098751,16.1
tomo_0a180f,13.1
tomo_0a8f05,13.1
tomo_0c2749,15.6
tomo_0c3a99,15.6
tomo_0c3d78,13.1
tomo_0d4c9e,15.6
tomo_0da370,13.1
tomo_0de3ee,13.1
tomo_0e9757,16.8
tomo_0eb41e,16.8
tomo_0eb994,15.6
tomo_0f9df0,15.6
tomo_0fab19,15.6
tomo_0fe63f,13.1
tomo_101279,13.1
tomo_10a3bd,13.3
tomo_10c564,13.1
tomo_122a02,15.6
tomo_122c46,16.8
tomo_12f896,13.1
tomo_13484c,15.6
tomo_134bb0,15.6
tomo_136c8d,19.7
tomo_138018,15.6
tomo_13973d,19.7
tomo_139d9e,15.6
tomo_1446aa,13.1
tomo_146de2,16.1
tomo_16136a,16.8
tomo_161683,15.6
tomo_16efa8,13.1
tomo_16fce8,15.6
tomo_17143f,15.6
tomo_172f08,13.1
tomo_180bfd,16.8
tomo_183270,13.1
tomo_191bcb,13.1
tomo_19a313,13.1
tomo_19a4fd,16.8
tomo_1ab322,15.6
tomo_1af88d,13.1
tomo_1b82d1,19.7
tomo_1c2534,13.1
tomo_1c38fd,15.6
tomo_1c75ac,15.6
tomo_1cc887,15.6
tomo_1da097,13.1
tomo_1da0da,13.1
tomo_1dc5f9,19.7
tomo_1e9980,16.8
tomo_1efc28,15.6
tomo_1f0e78,15.6
tomo_1fb6a7,16.8
tomo_20a9ed,13.1
tomo_210371,15.6
tomo_221a47,13.1
tomo_221c8e,16.8
tomo_225d8f,13.1
tomo_226cd8,13.1
tomo_22976c,13.1
tomo_229f0a,16.8
tomo_23a8e8,15.6
tomo_23c8a4,16.8
tomo_23ce49,15.6
tomo_247826,16.8
tomo_24795a,15.6
tomo_2483bb,15.6
tomo_24a095,13.1
tomo_24fda8,15.6
tomo_256717,15.6
tomo_25780f,13.1
tomo_2645a0,16.8
tomo_278194,19.2
tomo_285454,16.1
tomo_285d15,13.1
tomo_288d4f,16.8
tomo_28f9c1,16.1
tomo_2a6091,13.1
tomo_2a6ca2,13.1
tomo_2a89bb,16.1
tomo_2acf68,13.1
tomo_2aeb29,13.1
tomo_2b3cdf,13.1
tomo_2b996c,16.8
